,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
385,351,4,13,149,a,6.78,33.56,Erling Haaland,16
85,17,3,1,106,a,6.64,34.34,Bukayo Saka,16
364,328,3,12,133,a,6.22,35.67,Mohamed Salah,16
235,182,3,6,111,a,5.96,34.08,Cole Palmer,16
430,401,4,15,86,a,5.08,24.17,Alexander Isak,16
509,492,3,18,63,a,4.93,22.13,Dejan Kulusevski,16
508,491,3,18,67,a,4.79,23.08,Brennan Johnson,16
427,398,3,15,72,a,4.78,22.86,Anthony Gordon,16
511,494,3,18,76,a,4.6,22.8,James Maddison,16
143,82,4,18,75,a,4.6,20.87,Dominic Solanke-Mitchell,16
552,541,4,20,71,a,4.53,23.63,Matheus Santos Carneiro Da Cunha,16
2,15,1,1,56,a,4.44,21.99,David Raya Martin,16
378,342,3,13,63,a,4.38,25.78,Bernardo Veiga de Carvalho e Silva,16
86,18,2,1,62,a,4.37,19.99,William Saliba,16
230,177,3,6,63,a,4.37,21.08,Noni Madueke,16
512,495,2,18,56,a,4.36,19.52,Pedro Porro,16
83,13,3,1,83,a,4.35,21.43,Martin Ødegaard,16
221,168,3,6,50,a,4.26,18.84,Enzo Fernández,16
194,136,3,5,66,a,4.18,23.3,Mitoma Kaoru,16
520,503,3,18,98,a,4.13,24.91,Son Heung-min,16
622,617,4,3,61,a,4.12,19.33,Francisco Evanilson de Lima Barbosa,16
76,6,2,1,57,a,4.1,18.71,Jurriën Timber,16
121,58,4,2,90,d,4.1,24.59,Ollie Watkins,16
375,339,2,12,64,a,4.02,20.79,Virgil van Dijk,16
75,4,4,1,79,a,4.0,20.17,Kai Havertz,16
158,99,3,4,76,a,3.96,22.19,Bryan Mbeumo,16
233,180,4,6,82,a,3.96,20.13,Nicolas Jackson,16
528,514,3,19,74,a,3.92,23.93,Jarrod Bowen,16
575,566,4,20,56,a,3.91,19.43,Jørgen Strand Larsen,16
380,345,3,13,95,a,3.89,23.09,Kevin De Bruyne,16
522,505,2,18,49,a,3.89,16.83,Destiny Udogie,16
424,394,3,15,61,a,3.88,18.16,Bruno Guimarães Rodriguez Moura,16
43,413,1,15,50,a,3.87,19.48,Nick Pope,16
234,181,3,6,58,a,3.86,15.12,Christopher Nkunku,16
53,488,1,18,43,a,3.86,11.51,Fraser Forster,16
216,163,2,6,51,a,3.85,15.31,Marc Cucurella Saseta,16
134,71,3,3,55,a,3.84,18.97,Justin Kluivert,16
210,157,3,6,49,a,3.83,15.29,Moisés Caicedo Corozo,16
84,16,3,1,62,a,3.82,19.0,Declan Rice,16
432,403,3,15,60,a,3.72,17.7,Joelinton Cássio Apolinário de Lira,16
384,350,2,13,61,a,3.71,26.05,Joško Gvardiol,16
79,9,3,1,68,a,3.7,18.12,Gabriel Martinelli Silva,16
144,83,3,3,55,a,3.68,18.31,Marcus Tavernier,16
62,568,1,10,44,a,3.65,16.47,Arijanet Muric,16
545,533,2,20,49,a,3.65,16.21,Rayan Aït-Nouri,16
428,399,2,15,44,a,3.65,15.87,Lewis Hall,16
348,311,2,12,70,a,3.65,19.71,Trent Alexander-Arnold,16
139,78,3,3,57,a,3.63,19.91,Antoine Semenyo,16
441,415,2,15,54,a,3.63,16.51,Fabian Schär,16
422,392,3,15,62,a,3.58,14.71,Harvey Barnes,16
14,146,1,5,45,a,3.58,18.13,Bart Verbruggen,16
120,57,3,2,55,a,3.57,19.05,Youri Tielemans,16
470,447,4,16,65,a,3.57,18.65,Chris Wood,16
311,267,2,10,45,a,3.56,16.33,Leif Davis,16
91,23,3,1,68,a,3.56,18.95,Leandro Trossard,16
74,3,2,1,62,d,3.52,15.89,Gabriel dos Santos Magalhães,16
363,327,3,12,74,a,3.49,19.6,Luis Díaz,16
312,268,4,10,56,a,3.48,15.85,Liam Delap,16
371,335,2,12,59,a,3.48,19.71,Andrew Robertson,16
416,386,3,6,62,a,3.46,12.06,Jadon Sancho,16
504,486,2,18,43,a,3.4,11.14,Radu Drăgușin,16
118,54,3,2,54,a,3.39,18.62,Morgan Rogers,16
88,20,3,1,50,a,3.38,15.1,Thomas Partey,16
256,207,4,7,72,a,3.37,18.92,Jean-Philippe Mateta,16
224,171,2,6,49,a,3.36,12.49,Malo Gusto,16
566,557,3,20,50,a,3.35,14.5,Mario Lemina,16
399,366,3,14,85,a,3.32,25.27,Bruno Borges Fernandes,16
187,129,4,5,59,a,3.3,17.42,João Pedro Junqueira de Jesus,16
20,201,1,7,44,a,3.3,17.63,Dean Henderson,16
15,152,1,3,45,a,3.3,15.29,Kepa Arrizabalaga,16
292,247,3,9,57,a,3.29,20.94,Alex Iwobi,16
133,70,2,3,46,a,3.29,16.92,Milos Kerkez,16
5,47,1,2,50,a,3.28,17.49,Emiliano Martínez Romero,16
381,346,3,13,62,a,3.28,18.85,Jérémy Doku,16
46,443,1,16,47,a,3.24,17.73,Matz Sels,16
250,199,3,7,66,a,3.23,19.25,Eberechi Eze,16
629,625,3,13,65,a,3.18,18.94,Ilkay Gündogan,16
60,554,1,20,43,a,3.18,15.26,José Malheiro de Sá,16
458,433,3,16,63,a,3.13,15.66,Morgan Gibbs-White,16
425,395,2,15,44,a,3.11,14.34,Dan Burn,16
372,336,3,12,63,a,3.11,17.68,Dominik Szoboszlai,16
180,122,2,5,51,a,3.09,13.82,Pervis Estupiñán,16
394,361,2,13,54,a,3.08,16.72,Rúben Gato Alves Dias,16
592,585,3,7,57,a,3.08,18.72,Ismaïla Sarr,16
318,274,3,10,52,a,3.05,13.93,Omari Giraud-Hutchinson,16
361,324,3,12,53,a,3.05,14.27,Curtis Jones,16
175,117,3,11,50,a,3.02,16.66,Facundo Buonanotte,16
438,409,2,15,45,a,3.02,14.24,Tino Livramento,16
220,167,2,6,42,a,3.02,9.49,Axel Disasi,16
564,553,3,20,49,s,3.01,15.38,João Victor Gomes da Silva,16
358,321,4,12,71,a,2.98,16.24,Cody Gakpo,16
104,36,2,2,47,a,2.98,16.88,Lucas Digne,16
