,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
385,351,4,13,150,a,8.29,33.46,Erling Haaland,14
235,182,3,6,110,a,6.75,34.27,Cole Palmer,14
364,328,3,12,132,a,6.53,35.58,Mohamed Salah,14
85,17,3,1,104,a,5.71,32.15,Bukayo Saka,14
121,58,4,2,90,a,5.24,24.81,Ollie Watkins,14
233,180,4,6,81,a,5.14,22.61,Nicolas Jackson,14
528,514,3,19,74,a,4.5,23.87,Jarrod Bowen,14
221,168,3,6,48,a,4.45,17.4,Enzo Fernández,14
19,185,1,6,48,a,4.44,20.61,Robert Sánchez,14
375,339,2,12,64,a,4.25,21.22,Virgil van Dijk,14
292,247,3,9,56,a,4.25,20.77,Alex Iwobi,14
230,177,3,6,63,a,4.24,19.51,Noni Madueke,14
378,342,3,13,63,a,4.17,23.03,Bernardo Veiga de Carvalho e Silva,14
120,57,3,2,55,a,4.09,19.85,Youri Tielemans,14
363,327,3,12,75,a,4.08,21.13,Luis Díaz,14
134,71,3,3,54,a,4.08,20.25,Justin Kluivert,14
382,348,3,13,91,a,4.04,24.95,Phil Foden,14
277,230,3,8,55,a,3.98,17.06,Dwight McNeil,14
372,336,3,12,63,a,3.97,19.8,Dominik Szoboszlai,14
215,162,2,6,45,a,3.97,14.57,Levi Colwill,14
348,311,2,12,69,a,3.96,20.57,Trent Alexander-Arnold,14
24,235,1,8,49,a,3.93,18.71,Jordan Pickford,14
210,157,3,6,49,a,3.9,15.39,Moisés Caicedo Corozo,14
216,163,2,6,50,a,3.9,15.7,Marc Cucurella Saseta,14
118,54,3,2,53,a,3.86,16.68,Morgan Rogers,14
91,23,3,1,68,a,3.86,21.06,Leandro Trossard,14
384,350,2,13,62,a,3.82,25.26,Joško Gvardiol,14
552,541,4,20,71,a,3.76,24.28,Matheus Santos Carneiro Da Cunha,14
592,585,3,7,57,a,3.75,18.93,Ismaïla Sarr,14
2,15,1,1,55,a,3.73,21.7,David Raya Martin,14
508,491,3,18,67,a,3.71,22.57,Brennan Johnson,14
399,366,3,14,85,a,3.7,23.3,Bruno Borges Fernandes,14
622,617,4,3,60,a,3.7,19.41,Francisco Evanilson de Lima Barbosa,14
104,36,2,2,47,a,3.68,16.38,Lucas Digne,14
511,494,3,18,76,a,3.67,23.5,James Maddison,14
512,495,2,18,56,a,3.63,21.66,Pedro Porro,14
256,207,4,7,72,a,3.57,18.89,Jean-Philippe Mateta,14
575,566,4,20,56,a,3.56,19.52,Jørgen Strand Larsen,14
371,335,2,12,59,a,3.56,20.56,Andrew Robertson,14
175,117,3,11,50,a,3.53,16.43,Facundo Buonanotte,14
87,19,3,9,57,a,3.52,18.17,Emile Smith Rowe,14
83,13,3,1,83,a,3.52,19.83,Martin Ødegaard,14
569,560,3,6,62,a,3.5,17.33,Pedro Lomba Neto,14
520,503,3,18,99,a,3.48,27.28,Son Heung-min,14
194,136,3,5,65,a,3.48,23.91,Mitoma Kaoru,14
26,248,1,9,50,a,3.47,18.63,Bernd Leno,14
20,201,1,7,44,a,3.45,18.22,Dean Henderson,14
74,3,2,1,62,d,3.45,17.96,Gabriel dos Santos Magalhães,14
279,232,4,8,54,a,3.44,15.15,Iliman Ndiaye,14
282,236,2,8,48,a,3.41,14.04,James Tarkowski,14
158,99,3,4,78,a,3.41,22.31,Bryan Mbeumo,14
34,325,1,12,45,a,3.4,17.58,Caoimhin Kelleher,14
579,571,3,13,65,a,3.38,21.06,Sávio 'Savinho' Moreira de Oliveira,14
