,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
364,328,3,12,133,a,7.29,35.65,Mohamed Salah,15
385,351,4,13,150,a,6.43,33.31,Erling Haaland,15
121,58,4,2,90,a,5.6,25.1,Ollie Watkins,15
235,182,3,6,110,a,5.16,34.24,Cole Palmer,15
120,57,3,2,55,a,4.94,20.01,Youri Tielemans,15
85,17,3,1,105,a,4.68,32.58,Bukayo Saka,15
399,366,3,14,85,a,4.63,22.63,Bruno Borges Fernandes,15
528,514,3,19,74,a,4.54,22.9,Jarrod Bowen,15
194,136,3,5,65,a,4.39,23.14,Mitoma Kaoru,15
158,99,3,4,77,a,4.39,22.67,Bryan Mbeumo,15
415,385,3,14,70,a,4.33,19.76,Marcus Rashford,15
134,71,3,3,54,a,4.31,20.25,Justin Kluivert,15
118,54,3,2,53,a,4.31,16.97,Morgan Rogers,15
375,339,2,12,64,a,4.24,20.94,Virgil van Dijk,15
430,401,4,15,84,a,4.19,20.81,Alexander Isak,15
427,398,3,15,72,a,4.17,21.78,Anthony Gordon,15
384,350,2,13,62,a,4.15,24.38,Joško Gvardiol,15
622,617,4,3,61,a,4.13,19.75,Francisco Evanilson de Lima Barbosa,15
378,342,3,13,63,a,4.12,22.87,Bernardo Veiga de Carvalho e Silva,15
380,345,3,13,94,a,4.07,16.76,Kevin De Bruyne,15
40,383,1,14,52,a,4.07,19.66,André Onana,15
363,327,3,12,75,a,4.06,21.27,Luis Díaz,15
348,311,2,12,69,a,4.03,19.64,Trent Alexander-Arnold,15
204,148,4,5,59,d,3.99,19.36,Danny Welbeck,15
552,541,4,20,71,a,3.99,24.29,Matheus Santos Carneiro Da Cunha,15
187,129,4,5,58,a,3.95,17.17,João Pedro Junqueira de Jesus,15
372,336,3,12,63,a,3.95,19.79,Dominik Szoboszlai,15
508,491,3,18,67,a,3.92,23.95,Brennan Johnson,15
292,247,3,9,56,a,3.92,20.48,Alex Iwobi,15
397,364,3,14,50,a,3.85,16.0,Amad Diallo,15
404,372,3,14,63,a,3.84,18.38,Alejandro Garnacho,15
520,503,3,18,98,a,3.82,28.76,Son Heung-min,15
230,177,3,6,63,a,3.81,19.17,Noni Madueke,15
104,36,2,2,47,a,3.79,16.58,Lucas Digne,15
233,180,4,6,82,a,3.74,22.64,Nicolas Jackson,15
371,335,2,12,59,a,3.71,20.05,Andrew Robertson,15
144,83,3,3,55,a,3.7,18.13,Marcus Tavernier,15
511,494,3,18,76,a,3.7,24.33,James Maddison,15
2,15,1,1,55,a,3.66,22.17,David Raya Martin,15
401,369,2,14,52,a,3.65,15.31,Diogo Dalot Teixeira,15
139,78,3,3,57,a,3.65,17.58,Antoine Semenyo,15
14,146,1,5,45,a,3.65,18.16,Bart Verbruggen,15
419,389,4,14,66,a,3.58,15.98,Joshua Zirkzee,15
113,48,3,2,52,a,3.58,14.26,John McGinn,15
116,52,2,2,44,a,3.57,12.78,Pau Torres,15
575,566,4,20,56,a,3.54,19.71,Jørgen Strand Larsen,15
509,492,3,18,63,a,3.52,21.02,Dejan Kulusevski,15
623,618,3,5,56,a,3.51,17.68,Georginio Rutter,15
133,70,2,3,45,a,3.5,16.56,Milos Kerkez,15
43,413,1,15,50,a,3.5,19.69,Nick Pope,15
15,152,1,3,45,a,3.5,13.53,Kepa Arrizabalaga,15
168,110,4,4,62,a,3.49,18.51,Yoane Wissa,15
91,23,3,1,68,a,3.49,20.85,Leandro Trossard,15
381,346,3,13,62,a,3.48,16.15,Jérémy Doku,15
46,443,1,16,47,a,3.47,19.52,Matz Sels,15
180,122,2,5,50,a,3.46,13.73,Pervis Estupiñán,15
358,321,4,12,71,a,3.43,16.76,Cody Gakpo,15
424,394,3,15,61,a,3.39,17.25,Bruno Guimarães Rodriguez Moura,15
11,91,1,4,45,a,3.39,18.77,Mark Flekken,15
34,325,1,12,46,a,3.34,17.72,Caoimhin Kelleher,15
86,18,2,1,60,a,3.32,18.57,William Saliba,15
542,530,3,19,49,a,3.32,15.78,Tomáš Souček,15
221,168,3,6,49,a,3.27,17.08,Enzo Fernández,15
539,527,3,19,58,a,3.26,17.43,Lucas Tolentino Coelho de Lima,15
201,144,2,5,45,a,3.26,13.29,Jan Paul van Hecke,15
83,13,3,1,83,a,3.23,20.02,Martin Ødegaard,15
418,388,2,19,45,a,3.2,14.45,Aaron Wan-Bissaka,15
432,403,3,15,60,a,3.2,17.52,Joelinton Cássio Apolinário de Lira,15
592,585,3,7,57,a,3.2,18.47,Ismaïla Sarr,15
345,306,4,11,55,a,3.19,13.89,Jamie Vardy,15
512,495,2,18,56,a,3.18,22.75,Pedro Porro,15
163,104,2,4,45,a,3.18,15.28,Ethan Pinnock,15
29,293,1,11,45,a,3.16,14.33,Mads Hermansen,15
75,4,4,1,79,a,3.16,20.57,Kai Havertz,15
76,6,2,1,56,a,3.16,17.97,Jurriën Timber,15
19,185,1,6,48,a,3.15,20.47,Robert Sánchez,15
470,447,4,16,65,a,3.15,22.02,Chris Wood,15
459,434,3,16,54,a,3.15,18.5,Callum Hudson-Odoi,15
100,32,2,2,44,a,3.14,10.14,Matty Cash,15
149,89,3,4,50,a,3.14,16.27,Mikkel Damsgaard,15
5,47,1,2,50,a,3.14,16.32,Emiliano Martínez Romero,15
360,323,3,12,50,a,3.13,14.14,Ryan Gravenberch,15
175,117,3,11,50,n,3.12,16.21,Facundo Buonanotte,15
441,415,2,15,54,a,3.11,15.58,Fabian Schär,15
26,248,1,9,50,a,3.1,19.0,Bernd Leno,15
62,568,1,10,44,a,3.06,16.03,Arijanet Muric,15
365,329,3,12,62,s,3.04,15.89,Alexis Mac Allister,15
256,207,4,7,72,a,3.02,17.96,Jean-Philippe Mateta,15
106,38,4,2,58,a,3.02,13.93,Jhon Durán,15
24,235,1,8,49,a,3.02,18.74,Jordan Pickford,15
536,524,2,19,45,a,3.01,13.18,Max Kilman,15
382,348,3,13,91,d,3.01,24.35,Phil Foden,15
461,436,2,16,46,a,3.0,15.98,Murillo Santiago Costa dos Santos,15
312,268,4,10,56,a,2.99,15.9,Liam Delap,15
545,533,2,20,49,a,2.99,16.26,Rayan Aït-Nouri,15
111,44,2,2,44,a,2.99,11.67,Ezri Konsa Ngoyo,15
