,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
385,351,4,13,153,a,6.78,33.29,Erling Haaland,11
235,182,3,6,110,d,6.6,34.92,Cole Palmer,11
364,328,3,12,128,a,6.03,33.84,Mohamed Salah,11
508,491,3,18,67,a,5.35,24.18,Brennan Johnson,11
399,366,3,14,82,a,5.13,22.48,Bruno Borges Fernandes,11
520,503,3,18,99,a,5.01,23.37,Son Heung-min,11
143,82,4,18,77,a,5.0,20.24,Dominic Solanke-Mitchell,11
404,372,3,14,63,a,4.77,21.42,Alejandro Garnacho,11
552,541,4,20,67,a,4.77,23.39,Matheus Santos Carneiro Da Cunha,11
528,514,3,19,75,a,4.74,25.29,Jarrod Bowen,11
512,495,2,18,55,a,4.57,21.8,Pedro Porro,11
139,78,3,3,56,a,4.55,20.55,Antoine Semenyo,11
509,492,3,18,63,a,4.53,19.85,Dejan Kulusevski,11
511,494,3,18,76,a,4.48,22.19,James Maddison,11
158,99,3,4,79,a,4.39,26.17,Bryan Mbeumo,11
85,17,3,1,101,a,4.36,29.0,Bukayo Saka,11
401,369,2,14,51,a,4.26,16.17,Diogo Dalot Teixeira,11
54,508,1,18,50,a,4.19,20.09,Guglielmo Vicario,11
233,180,4,6,79,a,4.18,21.19,Nicolas Jackson,11
400,368,3,14,48,a,4.13,15.74,Carlos Henrique Casimiro,11
384,350,2,13,62,a,4.08,24.49,Joško Gvardiol,11
575,566,4,20,56,a,4.05,18.13,Jørgen Strand Larsen,11
40,383,1,14,50,a,3.99,19.36,André Onana,11
600,593,2,14,50,a,3.97,15.93,Matthijs de Ligt,11
378,342,3,13,65,a,3.97,23.73,Bernardo Veiga de Carvalho e Silva,11
545,533,2,20,47,a,3.96,18.49,Rayan Aït-Nouri,11
277,230,3,8,58,a,3.89,20.6,Dwight McNeil,11
230,177,3,6,64,a,3.81,20.84,Noni Madueke,11
415,385,3,14,69,a,3.8,18.27,Marcus Rashford,11
375,339,2,12,62,a,3.8,19.01,Virgil van Dijk,11
382,348,3,13,93,a,3.78,21.14,Phil Foden,11
1,14,1,17,44,a,3.74,14.69,Aaron Ramsdale,11
348,311,2,12,70,a,3.72,21.96,Trent Alexander-Arnold,11
296,252,4,9,58,a,3.72,19.62,Raúl Jiménez,11
363,327,3,12,77,a,3.7,19.25,Luis Díaz,11
406,375,4,14,69,a,3.69,13.8,Rasmus Højlund,11
46,443,1,16,46,a,3.67,18.2,Matz Sels,11
36,347,1,13,55,a,3.63,21.23,Ederson Santana de Moraes,11
522,505,2,18,49,a,3.62,16.36,Destiny Udogie,11
292,247,3,9,55,a,3.62,20.39,Alex Iwobi,11
427,398,3,15,72,a,3.56,20.6,Anthony Gordon,11
121,58,4,2,90,a,3.55,26.05,Ollie Watkins,11
459,434,3,16,54,a,3.53,16.64,Callum Hudson-Odoi,11
470,447,4,16,65,a,3.52,20.16,Chris Wood,11
75,4,4,1,81,d,3.49,21.49,Kai Havertz,11
601,594,2,14,45,a,3.45,12.97,Noussair Mazraoui,11
579,571,3,13,65,a,3.45,21.72,Sávio 'Savinho' Moreira de Oliveira,11
26,248,1,9,50,a,3.42,19.35,Bernd Leno,11
286,240,3,9,53,a,3.4,17.02,Andreas Hoelgebaum Pereira,11
87,19,3,9,57,a,3.37,19.01,Emile Smith Rowe,11
79,9,3,1,69,a,3.36,20.8,Gabriel Martinelli Silva,11
95,27,4,17,50,a,3.36,14.19,Cameron Archer,11
515,498,2,18,51,d,3.35,17.24,Cristian Romero,11
411,380,2,14,44,a,3.35,14.11,Lisandro Martínez,11
430,401,4,15,83,a,3.35,18.96,Alexander Isak,11
388,354,3,13,56,a,3.34,20.24,Mateo Kovačić,11
568,559,2,20,45,a,3.34,11.65,Nélson Cabral Semedo,11
144,83,3,3,55,a,3.33,16.84,Marcus Tavernier,11
127,64,3,3,50,a,3.32,17.05,Lewis Cook,11
569,560,3,6,62,a,3.31,15.19,Pedro Lomba Neto,11
448,422,2,16,47,a,3.3,14.82,Ola Aina,11
483,461,2,17,41,a,3.3,11.65,Taylor Harwood-Bellis,11
210,157,3,6,49,a,3.29,15.1,Moisés Caicedo Corozo,11
622,617,4,3,59,a,3.25,14.88,Francisco Evanilson de Lima Barbosa,11
20,201,1,7,44,a,3.25,18.17,Dean Henderson,11
60,554,1,20,43,a,3.23,12.89,José Malheiro de Sá,11
477,455,2,17,40,a,3.22,9.33,Jan Bednarek,11
24,235,1,8,49,a,3.19,19.6,Jordan Pickford,11
163,104,2,4,45,a,3.19,17.09,Ethan Pinnock,11
285,239,3,9,51,a,3.17,17.07,Adama Traoré,11
43,413,1,15,50,a,3.16,19.5,Nick Pope,11
11,91,1,4,45,a,3.15,19.91,Mark Flekken,11
19,185,1,6,47,a,3.15,20.28,Robert Sánchez,11
149,89,3,4,50,a,3.14,18.72,Mikkel Damsgaard,11
2,15,1,1,56,a,3.14,21.14,David Raya Martin,11
380,345,3,13,94,a,3.13,13.79,Kevin De Bruyne,11
175,117,3,11,51,a,3.13,18.45,Facundo Buonanotte,11
268,220,4,8,59,a,3.12,17.3,Dominic Calvert-Lewin,11
536,524,2,19,45,a,3.11,13.29,Max Kilman,11
564,553,3,20,49,a,3.11,10.62,João Victor Gomes da Silva,11
461,436,2,16,45,a,3.1,14.08,Murillo Santiago Costa dos Santos,11
299,255,2,9,47,a,3.08,15.53,Antonee Robinson,11
259,211,2,7,48,a,3.06,14.97,Daniel Muñoz,11
84,16,3,1,63,d,3.06,18.4,Declan Rice,11
251,200,2,7,44,a,3.04,14.73,Marc Guéhi,11
120,57,3,2,55,a,3.02,18.83,Youri Tielemans,11
472,449,3,16,49,a,3.02,13.94,Ryan Yates,11
581,573,2,16,45,a,3.01,13.65,Nikola Milenković,11
629,625,3,13,65,a,2.99,15.16,Ilkay Gündogan,11
362,326,2,12,53,a,2.98,16.75,Ibrahima Konaté,11
194,136,3,5,65,a,2.96,21.99,Mitoma Kaoru,11
424,394,3,15,62,a,2.95,17.06,Bruno Guimarães Rodriguez Moura,11
204,148,4,5,59,a,2.93,20.81,Danny Welbeck,11
389,355,2,13,49,a,2.93,16.84,Rico Lewis,11
358,321,4,12,71,a,2.92,13.62,Cody Gakpo,11
91,23,3,1,69,a,2.91,18.93,Leandro Trossard,11
215,162,2,6,46,a,2.9,14.33,Levi Colwill,11
495,476,2,17,44,a,2.9,10.44,Kyle Walker-Peters,11
500,482,3,18,49,a,2.89,12.93,Yves Bissouma,11
279,232,4,8,54,a,2.88,15.16,Iliman Ndiaye,11
422,392,3,15,64,a,2.87,18.04,Harvey Barnes,11
29,293,1,11,45,a,2.87,16.18,Mads Hermansen,11
361,324,3,12,53,a,2.87,13.84,Curtis Jones,11
74,3,2,1,62,a,2.87,17.2,Gabriel dos Santos Magalhães,11
258,210,2,7,49,a,2.86,14.83,Tyrick Mitchell,11
134,71,3,3,53,a,2.85,14.56,Justin Kluivert,11
133,70,2,3,44,a,2.85,14.2,Milos Kerkez,11
250,199,3,7,67,i,2.85,22.63,Eberechi Eze,11
418,388,2,19,44,a,2.85,12.92,Aaron Wan-Bissaka,11
5,47,1,2,50,a,2.83,19.66,Emiliano Martínez Romero,11
449,423,3,16,50,a,2.83,13.64,Elliot Anderson,11
360,323,3,12,50,a,2.82,13.68,Ryan Gravenberch,11
340,300,3,11,50,a,2.81,14.01,Wilfred Ndidi,11
532,518,3,17,48,a,2.79,11.58,Flynn Downes,11
256,207,4,7,73,a,2.76,16.06,Jean-Philippe Mateta,11
168,110,4,4,60,a,2.73,16.95,Yoane Wissa,11
623,618,3,5,56,a,2.73,19.12,Georginio Rutter,11
