,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
235,182,3,6,112,a,6.76,36.33,Cole Palmer,17
364,328,3,12,134,a,6.31,35.16,Mohamed Salah,17
85,17,3,1,106,a,5.61,33.92,Bukayo Saka,17
430,401,4,15,87,a,5.58,26.1,Alexander Isak,17
552,541,4,20,71,a,5.01,21.78,Matheus Santos Carneiro Da Cunha,17
158,99,3,4,76,a,4.67,22.13,Bryan Mbeumo,17
292,247,3,9,57,a,4.63,21.8,Alex Iwobi,17
399,366,3,14,84,a,4.49,25.17,Bruno Borges Fernandes,17
528,514,3,19,74,a,4.43,24.1,Jarrod Bowen,17
233,180,4,6,82,a,4.35,20.45,Nicolas Jackson,17
385,351,4,13,149,a,4.34,34.33,Erling Haaland,17
194,136,3,5,66,a,4.23,22.99,Mitoma Kaoru,17
427,398,3,15,72,a,4.21,22.14,Anthony Gordon,17
299,255,2,9,48,a,4.18,17.82,Antonee Robinson,17
26,248,1,9,50,a,4.11,20.04,Bernd Leno,17
296,252,4,9,55,a,4.0,17.32,Raúl Jiménez,17
86,18,2,1,63,a,3.97,20.88,William Saliba,17
2,15,1,1,56,a,3.94,21.94,David Raya Martin,17
168,110,4,4,62,a,3.94,18.17,Yoane Wissa,17
230,177,3,6,63,a,3.9,19.48,Noni Madueke,17
121,58,4,2,89,a,3.81,22.58,Ollie Watkins,17
139,78,3,3,57,a,3.78,21.51,Antoine Semenyo,17
83,13,3,1,83,a,3.77,22.22,Martin Ødegaard,17
221,168,3,6,51,a,3.75,19.31,Enzo Fernández,17
345,306,4,11,56,a,3.72,16.28,Jamie Vardy,17
375,339,2,12,65,a,3.7,20.84,Virgil van Dijk,17
19,185,1,6,48,a,3.68,18.7,Robert Sánchez,17
470,447,4,16,66,a,3.66,20.81,Chris Wood,17
74,3,2,1,61,a,3.65,14.94,Gabriel dos Santos Magalhães,17
520,503,3,18,98,a,3.63,27.29,Son Heung-min,17
424,394,3,15,61,a,3.62,18.03,Bruno Guimarães Rodriguez Moura,17
134,71,3,3,55,a,3.57,19.44,Justin Kluivert,17
75,4,4,1,79,a,3.49,20.64,Kai Havertz,17
422,392,3,15,62,a,3.47,16.38,Harvey Barnes,17
509,492,3,18,63,a,3.43,22.7,Dejan Kulusevski,17
11,91,1,4,45,a,3.43,19.29,Mark Flekken,17
76,6,2,1,57,a,3.42,19.21,Jurriën Timber,17
458,433,3,16,63,a,3.41,19.5,Morgan Gibbs-White,17
143,82,4,18,75,a,3.41,22.08,Dominic Solanke-Mitchell,17
46,443,1,16,47,a,3.4,19.65,Matz Sels,17
397,364,3,14,52,a,3.39,17.08,Amad Diallo,17
622,617,4,3,61,a,3.38,18.3,Francisco Evanilson de Lima Barbosa,17
87,19,3,9,55,a,3.37,18.0,Emile Smith Rowe,17
15,152,1,3,45,a,3.36,16.19,Kepa Arrizabalaga,17
428,399,2,15,46,a,3.36,15.02,Lewis Hall,17
416,386,3,6,62,a,3.35,16.86,Jadon Sancho,17
511,494,3,18,76,a,3.34,20.42,James Maddison,17
537,525,3,19,62,a,3.33,18.12,Mohammed Kudus,17
348,311,2,12,70,a,3.32,19.81,Trent Alexander-Arnold,17
441,415,2,15,54,a,3.32,16.36,Fabian Schär,17
5,47,1,2,50,a,3.31,18.46,Emiliano Martínez Romero,17
187,129,4,5,59,a,3.3,17.94,João Pedro Junqueira de Jesus,17
384,350,2,13,61,a,3.28,25.96,Joško Gvardiol,17
40,383,1,14,52,a,3.27,20.79,André Onana,17
14,146,1,5,45,a,3.26,17.52,Bart Verbruggen,17
575,566,4,20,57,a,3.26,16.4,Jørgen Strand Larsen,17
210,157,3,6,49,a,3.26,16.09,Moisés Caicedo Corozo,17
581,573,2,16,46,a,3.24,15.41,Nikola Milenković,17
216,163,2,6,52,s,3.22,16.63,Marc Cucurella Saseta,17
118,54,3,2,53,a,3.22,18.85,Morgan Rogers,17
542,530,3,19,49,a,3.2,15.24,Tomáš Souček,17
592,585,3,7,57,a,3.2,18.49,Ismaïla Sarr,17
29,293,1,11,45,d,3.17,15.47,Mads Hermansen,17
378,342,3,13,63,a,3.16,26.4,Bernardo Veiga de Carvalho e Silva,17
133,70,2,3,47,a,3.14,16.87,Milos Kerkez,17
287,241,2,9,45,a,3.11,13.04,Calvin Bassey,17
358,321,4,12,71,a,3.09,16.71,Cody Gakpo,17
512,495,2,18,56,a,3.08,20.83,Pedro Porro,17
79,9,3,1,67,a,3.06,17.82,Gabriel Martinelli Silva,17
363,327,3,12,74,a,3.06,20.32,Luis Díaz,17
91,23,3,1,68,a,3.05,19.13,Leandro Trossard,17
84,16,3,1,62,d,3.04,19.06,Declan Rice,17
418,388,2,19,46,a,3.03,14.9,Aaron Wan-Bissaka,17
148,88,2,4,45,a,3.02,14.86,Nathan Collins,17
62,568,1,10,44,a,3.02,15.92,Arijanet Muric,17
256,207,4,7,72,a,3.01,19.73,Jean-Philippe Mateta,17
459,434,3,16,54,a,3.0,17.92,Callum Hudson-Odoi,17
401,369,2,14,52,a,2.98,15.85,Diogo Dalot Teixeira,17
545,533,2,20,48,s,2.98,15.38,Rayan Aït-Nouri,17
24,235,1,8,49,a,2.97,19.53,Jordan Pickford,17
163,104,2,4,45,a,2.97,13.66,Ethan Pinnock,17
448,422,2,16,49,a,2.97,15.95,Ola Aina,17
380,345,3,13,95,a,2.95,25.17,Kevin De Bruyne,17
149,89,3,4,50,a,2.93,15.1,Mikkel Damsgaard,17
215,162,2,6,46,a,2.93,13.84,Levi Colwill,17
180,122,2,5,51,a,2.91,14.86,Pervis Estupiñán,17
564,553,3,20,49,a,2.89,14.99,João Victor Gomes da Silva,17
120,57,3,2,55,a,2.88,16.91,Youri Tielemans,17
431,402,3,15,49,a,2.88,11.29,Jacob Murphy,17
335,295,2,11,44,a,2.87,12.67,James Justin,17
406,375,4,14,69,a,2.87,15.71,Rasmus Højlund,17
312,268,4,10,56,s,2.86,15.73,Liam Delap,17
311,267,2,10,45,a,2.84,15.02,Leif Davis,17
566,557,3,20,50,a,2.83,14.55,Mario Lemina,17
290,245,2,9,44,a,2.82,11.47,Issa Diop,17
425,395,2,15,44,a,2.8,14.18,Dan Burn,17
57,521,1,19,41,a,2.8,14.46,Łukasz Fabiański,17
88,20,3,1,50,a,2.79,15.8,Thomas Partey,17
569,560,3,6,62,a,2.78,15.9,Pedro Lomba Neto,17
20,201,1,7,44,a,2.77,18.04,Dean Henderson,17
371,335,2,12,59,a,2.76,19.65,Andrew Robertson,17
250,199,3,7,66,a,2.75,19.29,Eberechi Eze,17
365,329,3,12,62,a,2.74,16.37,Alexis Mac Allister,17
279,232,4,8,54,a,2.73,14.45,Iliman Ndiaye,17
438,409,2,15,45,a,2.73,13.94,Tino Livramento,17
588,580,2,3,43,a,2.72,12.57,Dean Huijsen,17
165,106,3,4,51,a,2.71,14.36,Kevin Schade,17
508,491,3,18,66,a,2.67,20.78,Brennan Johnson,17
295,251,4,9,55,a,2.67,11.3,Rodrigo Muniz Carvalho,17
301,257,2,9,45,d,2.67,14.17,Kenny Tete,17
113,48,3,2,52,a,2.65,14.93,John McGinn,17
449,423,3,16,50,a,2.65,14.75,Elliot Anderson,17
286,240,3,9,50,s,2.64,14.23,Andreas Hoelgebaum Pereira,17
106,38,4,2,58,a,2.64,13.36,Jhon Durán,17
536,524,2,19,45,a,2.64,13.81,Max Kilman,17
259,211,2,7,47,s,2.63,17.47,Daniel Muñoz,17
415,385,3,14,68,a,2.61,17.77,Marcus Rashford,17
285,239,3,9,48,a,2.58,12.73,Adama Traoré,17
372,336,3,12,63,a,2.58,18.04,Dominik Szoboszlai,17
157,98,3,4,50,a,2.58,13.21,Keane Lewis-Potter,17
600,593,2,14,50,a,2.57,13.59,Matthijs de Ligt,17
277,230,3,8,54,d,2.56,16.09,Dwight McNeil,17
