,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
235,182,3,6,109,a,6.32,35.4,Cole Palmer,13
85,17,3,1,102,a,5.45,30.22,Bukayo Saka,13
385,351,4,13,151,a,5.4,32.63,Erling Haaland,13
364,328,3,12,131,a,5.26,34.4,Mohamed Salah,13
158,99,3,4,79,a,5.2,25.21,Bryan Mbeumo,13
508,491,3,18,67,a,4.98,22.88,Brennan Johnson,13
194,136,3,5,64,a,4.94,23.91,Mitoma Kaoru,13
143,82,4,18,76,a,4.84,21.47,Dominic Solanke-Mitchell,13
509,492,3,18,63,a,4.8,21.42,Dejan Kulusevski,13
233,180,4,6,80,a,4.7,23.05,Nicolas Jackson,13
430,401,4,15,85,a,4.68,24.74,Alexander Isak,13
520,503,3,18,99,a,4.49,23.2,Son Heung-min,13
512,495,2,18,55,a,4.43,20.52,Pedro Porro,13
470,447,4,16,66,a,4.34,22.28,Chris Wood,13
399,366,3,14,85,a,4.31,24.91,Bruno Borges Fernandes,13
204,148,4,5,60,a,4.29,23.07,Danny Welbeck,13
427,398,3,15,72,a,4.27,22.95,Anthony Gordon,13
511,494,3,18,76,a,4.27,18.84,James Maddison,13
528,514,3,19,74,a,4.22,25.56,Jarrod Bowen,13
384,350,2,13,63,a,4.06,25.61,Joško Gvardiol,13
46,443,1,16,47,a,4.04,18.5,Matz Sels,13
623,618,3,5,56,a,4.04,18.46,Georginio Rutter,13
11,91,1,4,45,a,4.02,19.43,Mark Flekken,13
168,110,4,4,61,a,3.9,18.59,Yoane Wissa,13
14,146,1,5,45,a,3.88,18.96,Bart Verbruggen,13
75,4,4,1,79,a,3.87,23.25,Kai Havertz,13
74,3,2,1,62,d,3.86,19.37,Gabriel dos Santos Magalhães,13
83,13,3,1,82,a,3.8,14.73,Martin Ødegaard,13
448,422,2,16,48,a,3.78,14.88,Ola Aina,13
149,89,3,4,50,a,3.76,18.36,Mikkel Damsgaard,13
2,15,1,1,55,a,3.76,20.61,David Raya Martin,13
79,9,3,1,69,a,3.76,21.38,Gabriel Martinelli Silva,13
404,372,3,14,64,a,3.76,19.27,Alejandro Garnacho,13
163,104,2,4,45,a,3.74,16.23,Ethan Pinnock,13
230,177,3,6,64,a,3.74,20.46,Noni Madueke,13
121,58,4,2,90,a,3.74,23.18,Ollie Watkins,13
382,348,3,13,91,a,3.73,24.05,Phil Foden,13
148,88,2,4,45,a,3.67,15.6,Nathan Collins,13
153,94,3,4,49,a,3.67,16.38,Vitaly Janelt,13
139,78,3,3,57,s,3.67,22.14,Antoine Semenyo,13
43,413,1,15,50,a,3.67,19.84,Nick Pope,13
432,403,3,15,60,a,3.64,19.67,Joelinton Cássio Apolinário de Lira,13
622,617,4,3,60,a,3.63,18.48,Francisco Evanilson de Lima Barbosa,13
40,383,1,14,51,a,3.61,19.66,André Onana,13
552,541,4,20,70,a,3.59,23.73,Matheus Santos Carneiro Da Cunha,13
461,436,2,16,46,a,3.58,14.73,Murillo Santiago Costa dos Santos,13
54,508,1,18,50,i,3.5,18.37,Guglielmo Vicario,13
581,573,2,16,45,a,3.49,13.75,Nikola Milenković,13
459,434,3,16,54,a,3.46,16.57,Callum Hudson-Odoi,13
175,117,3,11,50,a,3.45,19.45,Facundo Buonanotte,13
86,18,2,1,60,a,3.44,16.77,William Saliba,13
24,235,1,8,49,a,3.42,18.46,Jordan Pickford,13
127,64,3,3,50,a,3.41,16.59,Lewis Cook,13
545,533,2,20,48,a,3.41,18.57,Rayan Aït-Nouri,13
134,71,3,3,53,a,3.41,16.51,Justin Kluivert,13
569,560,3,6,62,a,3.38,18.66,Pedro Lomba Neto,13
180,122,2,5,50,a,3.37,13.22,Pervis Estupiñán,13
