,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
385,351,4,13,154,a,6.43,33.68,Erling Haaland,10
364,328,3,12,127,a,5.87,33.31,Mohamed Salah,10
235,182,3,6,110,a,5.61,34.78,Cole Palmer,10
85,17,3,1,100,a,4.83,28.4,Bukayo Saka,10
508,491,3,18,67,a,4.8,23.45,Brennan Johnson,10
277,230,3,8,58,d,4.74,21.52,Dwight McNeil,10
250,199,3,7,67,d,4.64,23.71,Eberechi Eze,10
296,252,4,9,57,a,4.51,20.32,Raúl Jiménez,10
292,247,3,9,55,a,4.38,20.73,Alex Iwobi,10
384,350,2,13,62,d,4.28,24.45,Joško Gvardiol,10
20,201,1,7,44,a,4.25,18.54,Dean Henderson,10
87,19,3,9,57,a,4.23,19.22,Emile Smith Rowe,10
528,514,3,19,74,a,4.2,25.44,Jarrod Bowen,10
24,235,1,8,48,a,4.11,20.52,Jordan Pickford,10
378,342,3,13,65,a,4.1,23.62,Bernardo Veiga de Carvalho e Silva,10
26,248,1,9,50,a,4.09,19.84,Bernd Leno,10
158,99,3,4,77,a,4.05,25.03,Bryan Mbeumo,10
399,366,3,14,82,a,4.04,23.41,Bruno Borges Fernandes,10
251,200,2,7,44,a,4.04,15.15,Marc Guéhi,10
79,9,3,1,70,a,4.02,21.94,Gabriel Martinelli Silva,10
2,15,1,1,56,a,3.95,21.65,David Raya Martin,10
286,240,3,9,53,d,3.95,17.18,Andreas Hoelgebaum Pereira,10
404,372,3,14,62,a,3.95,22.12,Alejandro Garnacho,10
382,348,3,13,93,a,3.92,20.9,Phil Foden,10
509,492,3,18,63,a,3.91,19.33,Dejan Kulusevski,10
36,347,1,13,55,a,3.89,21.11,Ederson Santana de Moraes,10
511,494,3,18,76,a,3.89,20.86,James Maddison,10
552,541,4,20,65,a,3.89,22.46,Matheus Santos Carneiro Da Cunha,10
311,267,2,10,45,a,3.86,17.19,Leif Davis,10
75,4,4,1,82,a,3.85,23.06,Kai Havertz,10
470,447,4,16,64,d,3.83,20.1,Chris Wood,10
284,238,2,8,45,a,3.8,15.03,Ashley Young,10
259,211,2,7,48,a,3.8,15.23,Daniel Muñoz,10
279,232,4,8,54,a,3.79,16.0,Iliman Ndiaye,10
299,255,2,9,47,a,3.79,15.63,Antonee Robinson,10
268,220,4,8,60,a,3.74,18.88,Dominic Calvert-Lewin,10
121,58,4,2,91,a,3.72,26.7,Ollie Watkins,10
74,3,2,1,63,d,3.71,19.01,Gabriel dos Santos Magalhães,10
285,239,3,9,51,a,3.67,17.27,Adama Traoré,10
62,568,1,10,44,a,3.67,17.43,Arijanet Muric,10
143,82,4,18,77,a,3.67,19.83,Dominic Solanke-Mitchell,10
275,228,2,8,42,a,3.66,14.75,Michael Keane,10
258,210,2,7,49,a,3.64,15.17,Tyrick Mitchell,10
230,177,3,6,65,a,3.64,20.9,Noni Madueke,10
363,327,3,12,79,a,3.63,20.29,Luis Díaz,10
282,236,2,8,48,a,3.6,15.24,James Tarkowski,10
175,117,3,11,51,a,3.6,18.54,Facundo Buonanotte,10
652,650,2,7,45,a,3.59,14.13,Maxence Lacroix,10
256,207,4,7,73,a,3.58,16.72,Jean-Philippe Mateta,10
84,16,3,1,63,a,3.58,18.59,Declan Rice,10
579,571,3,13,65,d,3.56,21.73,Sávio 'Savinho' Moreira de Oliveira,10
233,180,4,6,79,a,3.56,20.81,Nicolas Jackson,10
617,611,3,10,58,a,3.55,14.09,Sam Szmodics,10
91,23,3,1,69,a,3.5,19.87,Leandro Trossard,10
512,495,2,18,55,a,3.5,20.48,Pedro Porro,10
312,268,4,10,57,a,3.5,16.14,Liam Delap,10
92,24,2,1,63,a,3.47,17.21,Benjamin White,10
388,354,3,13,56,a,3.46,20.3,Mateo Kovačić,10
545,533,2,20,46,a,3.45,17.94,Rayan Aït-Nouri,10
430,401,4,15,83,a,3.44,18.88,Alexander Isak,10
46,443,1,16,46,a,3.43,17.78,Matz Sels,10
212,159,2,7,44,a,3.41,10.78,Trevoh Chalobah,10
348,311,2,12,70,a,3.41,21.69,Trent Alexander-Arnold,10
389,355,2,13,48,a,3.41,16.89,Rico Lewis,10
